0	2010-12-31	2011-01-07	8.20	0.05744
0	2011-01-31	2011-02-07	8.49	0.07459
0	2011-02-28	2011-03-09	8.02	0.04198
0	2011-03-31	2011-04-07	8.20	0.04144
0	2011-04-29	2011-05-06	7.95	0.04113
0	2011-05-31	2011-06-07	8.12	0.02055
0	2011-06-30	\N	7.70	\N
0	2011-07-29	2011-08-05	7.84	0.06720
0	2011-08-31	2011-09-08	7.70	0.06833
0	2011-09-30	2011-10-07	7.89	0.04092
0	2011-10-31	2011-11-08	7.75	0.04116
0	2011-11-30	2011-12-07	7.95	0.04263
0	2011-12-30	2012-01-06	7.95	0.04773
0	2012-06-29	2012-07-06	8.97	0.03677
1	2012-06-29	2012-07-13	103.64	0.86000
2	2010-12-31	2011-01-13	2201.00	13.03034
2	2011-01-31	2011-02-11	2100.00	13.38746
2	2011-02-28	2011-03-15	1986.77	13.22956
2	2011-03-31	2011-04-13	2080.00	13.22901
2	2011-04-29	2011-05-12	2076.76	13.23140
2	2011-05-31	2011-06-13	2066.83	13.16437
2	2011-06-30	2011-07-13	2050.00	13.19248
2	2011-07-29	2011-08-11	2050.78	13.21338
2	2011-08-31	2011-09-14	2090.00	13.19983
2	2011-09-30	2011-10-14	2166.90	13.09641
2	2011-10-31	2011-11-14	2185.81	14.20309
2	2011-11-30	2011-12-13	2285.77	14.22480
2	2011-12-29	2012-01-12	2490.86	14.13129
2	2012-06-29	2012-07-13	3220.88	69.11369
3	2010-12-31	2011-01-14	2560.02	14.84566
3	2011-01-31	2011-02-15	2580.92	15.03466
3	2011-02-28	2011-03-15	2484.97	15.03671
3	2011-03-31	2011-04-15	2807.02	15.10692
3	2011-04-29	2011-05-13	2985.11	14.88359
3	2011-05-31	2011-06-15	2863.73	15.26421
3	2011-06-30	2011-07-15	3000.00	32.86812
3	2011-07-29	2011-08-15	3152.88	32.01109
3	2011-08-31	2011-09-15	3150.00	31.84007
3	2011-09-30	2011-10-14	3587.84	32.05090
3	2011-10-31	2011-11-14	4010.02	31.97327
3	2011-11-30	2011-12-15	3747.97	32.02445
3	2011-12-29	2012-01-13	3707.02	32.97494
3	2012-06-29	2012-07-13	3748.16	21.83241
4	2011-10-31	2011-11-16	130.17	0.52750
4	2011-11-30	2011-12-14	118.58	0.41503
4	2011-12-30	2012-01-13	131.71	0.28853
4	2012-06-29	2012-07-13	115.82	0.17569
5	2010-12-31	2011-01-10	108.15	0.13867
5	2011-01-31	2011-02-08	118.15	0.80000
5	2011-02-28	2011-03-10	108.20	0.80000
5	2011-03-31	2011-04-08	108.00	0.80000
5	2011-04-29	2011-05-09	104.70	0.80000
5	2011-05-31	2011-06-08	102.70	0.80000
5	2011-06-30	2011-07-08	103.00	0.80000
5	2011-07-29	2011-08-08	103.20	0.80000
5	2011-08-31	2011-09-09	105.51	0.80000
5	2011-09-30	2011-10-10	106.62	0.80000
5	2011-10-31	2011-11-09	107.20	0.80000
5	2011-11-30	2011-12-08	103.20	0.80000
5	2011-12-30	2012-01-09	108.20	0.80000
5	2012-06-29	2012-07-10	116.63	0.86469
6	2010-12-31	2011-01-14	105.00	0.98518
6	2011-01-07	2011-01-14	109.00	0.98518
6	2011-02-07	2011-02-14	106.20	0.99460
6	2011-03-09	2011-03-16	115.00	1.20325
6	2011-04-07	2011-04-14	105.10	1.19326
6	2011-05-06	2011-05-13	110.17	0.83073
6	2011-06-07	2011-06-14	103.95	0.80162
6	2011-07-07	2011-07-14	103.50	0.79279
6	2011-08-05	2011-08-12	100.98	0.84436
6	2011-09-08	2011-09-15	101.97	0.83349
6	2011-10-07	2011-10-17	98.00	0.92135
6	2011-11-08	2011-11-16	95.45	0.84098
6	2011-12-07	2011-12-14	100.90	0.87044
6	2012-06-08	2012-06-15	112.65	1.16228
7	2011-09-08	2011-09-15	114.90	0.66700
7	2011-10-07	2011-10-17	111.00	0.66700
7	2011-11-08	2011-11-16	114.00	0.87000
7	2011-12-08	2011-12-14	128.00	0.66700
7	2012-06-08	2012-06-15	154.50	0.83300
8	2012-06-22	2012-06-29	128.00	0.87798
9	2010-12-31	2011-01-14	1230.00	24.00000
9	2011-01-31	2011-02-14	1280.00	10.00000
9	2011-02-28	2011-03-16	1269.00	11.00000
9	2011-03-31	2011-04-14	1250.00	11.00000
9	2011-04-29	2011-05-13	1228.30	11.70000
9	2011-05-31	2011-06-14	1198.30	11.70000
9	2011-06-30	2011-07-14	1205.00	10.30000
9	2011-07-29	2011-08-12	1194.50	5.50000
9	2011-08-31	2011-09-15	1170.00	5.50000
9	2011-09-30	2011-10-17	1143.00	7.00000
9	2011-10-31	2011-11-16	1042.00	8.00000
9	2011-11-30	2011-12-14	1040.75	9.25000
9	2011-12-29	2012-01-13	1044.65	11.35000
9	2012-06-29	2012-07-13	1034.00	8.00000
10	2010-12-31	2011-01-03	1400.00	9.93776
10	2011-01-31	2011-02-15	1390.00	10.00684
10	2011-02-28	2011-03-15	1490.10	9.89888
10	2011-03-31	2011-04-15	1480.00	10.00488
10	2011-04-29	2011-05-13	1389.99	10.00004
10	2011-05-31	\N	1400.00	\N
10	2011-06-30	\N	1400.00	\N
10	2011-07-31	\N	1380.00	\N
10	2011-09-30	2011-10-14	1498.91	1.08562
10	2011-10-31	2011-11-14	1587.18	12.81405
10	2011-11-30	2011-12-15	1636.94	13.05474
10	2011-12-29	2012-01-13	1640.18	10.81565
10	2012-06-29	2012-07-13	1787.22	12.77312
11	2012-06-29	2012-07-13	993.67	6.32156
12	2012-06-29	2012-07-13	914.00	15.69929
13	2012-06-07	2012-06-15	95.97	0.67429
14	2010-12-31	2011-01-10	206.00	1.55744
14	2011-01-31	2011-02-10	220.00	1.55777
14	2011-02-28	2011-03-10	210.44	1.55878
14	2011-03-31	2011-04-08	225.00	1.36508
14	2011-04-29	2011-05-10	215.97	1.02627
14	2011-05-31	2011-06-10	213.76	1.23457
14	2011-06-30	2011-07-11	200.00	1.13921
14	2011-07-29	2011-08-10	203.67	1.32461
14	2011-08-31	2011-09-12	210.00	1.45838
14	2011-09-30	2011-10-10	203.53	1.46742
14	2011-10-31	2011-11-10	198.53	1.46742
14	2011-11-30	2011-12-09	201.53	1.46623
14	2011-12-29	2012-01-10	203.53	1.46722
14	2012-06-29	2012-07-13	258.38	1.61884
15	2010-12-31	2011-01-14	200.60	1.36000
15	2011-01-31	2011-02-15	200.00	1.36000
15	2011-02-28	2011-03-15	194.24	1.36000
15	2011-03-31	2011-04-15	203.40	1.36000
15	2011-04-29	2011-05-13	194.64	1.36000
15	2011-05-31	2011-06-15	186.63	1.36000
15	2011-06-30	2011-07-15	183.00	1.36000
15	2011-07-29	2011-08-15	186.62	1.36000
15	2011-08-31	2011-09-15	190.00	1.36000
15	2011-09-30	2011-10-17	186.65	1.36000
15	2011-10-31	2011-11-16	190.64	1.36000
15	2011-11-30	2011-12-15	185.66	1.36000
15	2011-12-29	2012-01-16	189.98	1.40000
15	2012-06-29	2012-07-13	238.55	1.45000
16	2011-01-07	2011-01-14	129.95	0.98159
16	2011-02-07	2011-02-14	129.00	0.98078
16	2011-03-09	2011-03-16	130.00	0.97844
16	2011-04-07	2011-04-14	130.50	0.97869
16	2011-05-06	2011-05-13	130.50	0.98106
16	2011-06-07	2011-06-14	129.10	0.98163
16	2011-07-07	2011-07-14	129.00	0.98094
16	2011-08-08	2011-08-12	127.50	0.98139
16	2011-09-08	2011-09-15	129.00	0.97890
16	2011-10-07	2011-10-17	125.50	0.98127
16	2011-11-08	2011-11-16	123.10	0.96953
